No.,Time,Source,Destination,Protocol,Length,Info,Label
611,53.831005,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
667,58.881988,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
672,59.300132,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
674,59.305208,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
681,59.31645,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
735,64.330231,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
736,64.330434,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
785,68.846112,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
790,68.85621,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
842,73.880266,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
843,73.880465,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
909,78.930302,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
914,79.087326,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
916,79.09234,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
923,79.097792,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
976,84.130201,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
977,84.130367,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1033,89.162273,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1038,89.172158,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
1092,94.180676,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1093,94.180862,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1147,99.22975,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1149,99.374257,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1151,99.379346,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1158,99.385855,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
1210,104.430724,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1211,104.430879,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1267,109.336997,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1272,109.34402,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
1324,114.381136,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1325,114.381332,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1379,119.43076,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1382,119.514738,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1384,119.519696,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
